,PUB FP Equity,RI FP Equity,RMS FP Equity,ACA FP Equity,AI FP Equity,CS FP Equity,DG FP Equity,HO FP Equity,KER FP Equity,AIR FP Equity,ALO FP Equity,BN FP Equity,BNP FP Equity,STM FP Equity,SU FP Equity,RNO FP Equity,SAF FP Equity,SAN FP Equity,DSY FP Equity,EL FP Equity,EN FP Equity,ENGI FP Equity,LR FP Equity,MC FP Equity,ML FP Equity,MT NA Equity,CA FP Equity,CAP FP Equity,TEP FP Equity,TTE FP Equity,URW NA Equity,VIE FP Equity,SGO FP Equity,STLAP FP Equity,ERF FP Equity,GLE FP Equity,OR FP Equity,ORA FP Equity,VIV FP Equity,WLN FP Equity
2015-01-01,59.64,92.26,294.8,10.76,75.2647,19.205,45.51,44.995,148.26,41.35,24.9061,54.45,49.26,6.2,60.61,60.53,51.25,75.2499,10.108,92.68,29.98,19.43,43.545,132.25,18.8175,21.1416,25.3,59.48,56.43,42.52,212.85,14.2263,35.23,,21.205,34.99,139.3,14.15,6.0152,16.0
2015-01-02,59.26,91.09,299.65,10.9,74.2036,19.1,45.425,45.03,146.64,41.525,24.92,53.86,49.43,6.225,59.95,59.9,51.05,75.0311,10.194,91.0,30.025,19.31,43.46,130.85,18.59,20.9834,25.075,60.12,57.65,42.525,211.55,14.1589,35.165,,21.555,35.36,137.4,14.06,5.976,16.1
2015-01-05,58.08,89.11,290.0,10.4,71.9058,18.39,43.88,44.535,143.29,41.65,24.2941,52.48,47.03,6.132,57.34,57.81,50.95,72.8729,10.132,89.85,28.915,18.49,42.06,127.05,18.165,20.1785,23.86,59.32,57.38,39.98,209.85,13.8069,33.65,,21.23,33.78,134.15,13.52,5.8538,15.9
2015-01-06,57.9,88.52,280.95,10.2,71.3057,18.19,43.4,44.665,141.94,42.615,24.308,52.32,45.8,6.066,57.42,57.51,51.3,73.1116,9.842,88.72,28.695,18.305,41.28,125.6,17.9575,20.1739,23.67,57.03,56.45,39.92,210.15,13.6141,33.115,,20.785,33.18,134.15,13.37,5.7565,15.98
2015-01-07,58.32,90.32,287.35,10.055,71.6277,18.385,45.0,45.2,144.31,43.725,24.5954,52.93,45.035,6.193,57.78,57.38,52.16,73.8873,9.781,90.0,29.03,18.135,40.98,125.7,18.0425,20.1413,23.645,57.27,56.56,40.825,213.15,13.7202,33.025,,21.12,32.825,134.9,13.59,5.7681,15.95
2015-01-08,59.2,95.07,288.85,10.3,74.6427,19.145,46.575,46.045,148.77,45.215,25.0405,54.46,46.495,6.4,60.16,59.6,53.72,77.0004,10.008,93.37,29.9,18.79,41.91,129.65,18.76,20.8787,24.72,58.9,57.67,42.4,221.1,13.9757,34.36,,21.34,33.78,139.8,14.205,5.9018,16.05
2015-01-09,58.96,94.16,282.8,10.065,72.9669,18.715,46.565,46.77,147.75,44.55,24.8736,53.22,44.935,6.366,58.8,58.84,53.97,74.4742,9.906,91.45,29.605,18.22,41.71,127.7,18.575,20.346,23.875,59.26,57.1,41.065,217.0,14.1733,33.83,,21.395,33.4,137.8,13.97,5.8858,16.0
2015-01-12,59.73,96.75,285.0,9.995,74.2402,18.74,47.635,46.215,150.73,44.95,25.0127,54.21,45.295,6.451,59.56,59.38,54.01,75.5185,10.008,93.71,30.58,18.28,41.68,131.95,18.94,19.8366,24.445,59.96,59.8,41.28,220.4,14.0817,33.99,,21.955,33.445,140.9,14.39,5.9207,16.07
2015-01-13,60.14,98.03,289.75,10.36,74.972,19.165,48.27,47.735,154.12,45.565,25.3512,54.47,46.345,6.527,61.46,61.54,54.21,76.4136,9.979,94.4,30.8,18.63,41.475,132.95,19.3075,19.7737,25.385,59.31,60.02,41.7,224.6,14.665,34.51,,22.585,33.865,142.65,14.63,5.9832,16.205
2015-01-14,60.08,97.28,285.15,10.305,73.9841,18.8,47.465,47.08,151.05,45.14,24.8597,53.61,44.935,6.489,60.27,59.77,53.95,75.3195,9.972,93.41,30.225,18.01,41.04,132.7,18.8575,18.6106,25.955,58.69,59.75,40.815,224.8,14.6747,33.545,,21.995,33.485,141.6,14.395,5.9396,16.32
